Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         14.56             2.601354e+24         7.138286e+21         2.257324e+23        8.677%
         19.31             2.435599e+24         6.744800e+21         2.132893e+23        8.757%
         25.60             2.287527e+24         6.351144e+21         2.008408e+23        8.780%
         33.93             2.146599e+24         5.923355e+21         1.873129e+23        8.726%
         44.98             2.003032e+24         5.440381e+21         1.720400e+23        8.589%
         59.64             1.853444e+24         4.967231e+21         1.570776e+23        8.475%
         79.06             1.716548e+24         4.696712e+21         1.485231e+23        8.652%
         104.8             1.614645e+24         4.555613e+21         1.440611e+23        8.922%
         138.9             1.533074e+24         4.348142e+21         1.375003e+23        8.969%
         184.2             1.453607e+24         4.093690e+21         1.294538e+23        8.906%
         244.2             1.372210e+24         3.834813e+21         1.212674e+23        8.837%
         323.7             1.290244e+24         3.582511e+21         1.132889e+23        8.780%
         429.2             1.208935e+24         3.332183e+21         1.053729e+23        8.716%
         569.0             1.128006e+24         3.073444e+21         9.719083e+22        8.616%
         754.3             1.047394e+24         2.811140e+21         8.889606e+22        8.487%
         1000.             9.693879e+23         2.559302e+21         8.093225e+22        8.349%

Energy diffusion coef. D*N (1/m/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             8.815927e+23         2.738217e+21         8.659002e+22        9.822%
         0.1326E-02             8.849611e+23         2.762401e+21         8.735481e+22        9.871%
         0.1758E-02             8.893981e+23         2.790589e+21         8.824616e+22        9.922%
         0.2330E-02             8.948674e+23         2.820271e+21         8.918481e+22        9.966%
         0.3089E-02             9.012241e+23         2.850378e+21         9.013686e+22        10.002%
         0.4095E-02             9.081752e+23         2.877956e+21         9.100894e+22        10.021%
         0.5429E-02             9.154598e+23         2.902712e+21         9.179182e+22        10.027%
         0.7197E-02             9.229564e+23         2.926549e+21         9.254562e+22        10.027%
         0.9541E-02             9.307039e+23         2.951840e+21         9.334538e+22        10.030%
         0.1265E-01             9.389313e+23         2.980009e+21         9.423615e+22        10.037%
         0.1677E-01             9.479557e+23         3.014032e+21         9.531207e+22        10.054%
         0.2223E-01             9.580523e+23         3.052806e+21         9.653821e+22        10.077%
         0.2947E-01             9.694871e+23         3.096751e+21         9.792786e+22        10.101%
         0.3907E-01             9.822927e+23         3.143919e+21         9.941946e+22        10.121%
         0.5179E-01             9.960921e+23         3.191505e+21         1.009242e+23        10.132%
         0.6866E-01             1.010188e+24         3.235993e+21         1.023311e+23        10.130%
         0.9103E-01             1.024193e+24         3.280314e+21         1.037326e+23        10.128%
         0.1207             1.038907e+24         3.336737e+21         1.055169e+23        10.157%
         0.1600             1.056750e+24         3.422645e+21         1.082335e+23        10.242%
         0.2121             1.080951e+24         3.547506e+21         1.121820e+23        10.378%
         0.2812             1.113422e+24         3.707129e+21         1.172297e+23        10.529%
         0.3728             1.156148e+24         3.925606e+21         1.241386e+23        10.737%
         0.4942             1.216147e+24         4.262198e+21         1.347825e+23        11.083%
         0.6551             1.302471e+24         4.722494e+21         1.493384e+23        11.466%
         0.8685             1.414818e+24         5.205675e+21         1.646179e+23        11.635%
         1.151             1.537420e+24         5.574171e+21         1.762708e+23        11.465%
         1.526             1.649052e+24         5.792310e+21         1.831689e+23        11.108%
