Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         44.98             3.982269e+24         1.349590e+21         4.267779e+22        1.072%
         59.64             4.113798e+24         1.455604e+21         4.603023e+22        1.119%
         79.06             4.285906e+24         1.671928e+21         5.287102e+22        1.234%
         104.8             4.504978e+24         2.129758e+21         6.734886e+22        1.495%
         138.9             4.765043e+24         2.949925e+21         9.328481e+22        1.958%
         184.2             5.039602e+24         4.164312e+21         1.316871e+23        2.613%
         244.2             5.272385e+24         5.553569e+21         1.756193e+23        3.331%
         323.7             5.393348e+24         6.777787e+21         2.143324e+23        3.974%
         429.2             5.367694e+24         7.676252e+21         2.427444e+23        4.522%
         569.0             5.228798e+24         8.470930e+21         2.678743e+23        5.123%
         754.3             5.055928e+24         9.510729e+21         3.007557e+23        5.949%
         1000.             4.937383e+24         1.107001e+22         3.500644e+23        7.090%

Energy diffusion coef. D*N (1/m/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             8.420998e+23         2.690501e+20         8.508112e+21        1.010%
         0.1326E-02             8.421726e+23         2.691603e+20         8.511595e+21        1.011%
         0.1758E-02             8.423025e+23         2.691974e+20         8.512770e+21        1.011%
         0.2330E-02             8.425309e+23         2.695301e+20         8.523291e+21        1.012%
         0.3089E-02             8.429277e+23         2.698588e+20         8.533685e+21        1.012%
         0.4095E-02             8.436219e+23         2.705123e+20         8.554351e+21        1.014%
         0.5429E-02             8.448246e+23         2.716383e+20         8.589956e+21        1.017%
         0.7197E-02             8.468990e+23         2.736156e+20         8.652484e+21        1.022%
         0.9541E-02             8.504269e+23         2.767605e+20         8.751935e+21        1.029%
         0.1265E-01             8.563247e+23         2.820447e+20         8.919037e+21        1.042%
         0.1677E-01             8.659179e+23         2.902565e+20         9.178717e+21        1.060%
         0.2223E-01             8.810577e+23         3.024210e+20         9.563391e+21        1.085%
         0.2947E-01             9.038180e+23         3.197635e+20         1.011181e+22        1.119%
