Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         138.9             4.568122e+25         7.189469e+21         2.273510e+24        4.977%
         184.2             6.286918e+25         1.241076e+22         3.924628e+24        6.243%
         244.2             8.933747e+25         2.139101e+22         6.764432e+24        7.572%
         323.7             1.281903e+26         3.535404e+22         1.117993e+25        8.721%
         429.2             1.830393e+26         5.608610e+22         1.773598e+25        9.690%
         569.0             2.621205e+26         8.897718e+22         2.813706e+25        10.734%
         754.3             3.870685e+26         1.479033e+23         4.677112e+25        12.083%
         1000.             6.109015e+26         2.656210e+23         8.399675e+25        13.750%

Total collision freq. /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             5.946569e-15         1.880215e-19         5.945762e-17        1.000%
         0.1326E-02             5.947774e-15         1.879891e-19         5.944738e-17        0.999%
         0.1758E-02             5.949884e-15         1.879275e-19         5.942790e-17        0.999%
         0.2330E-02             5.953576e-15         1.878059e-19         5.938944e-17        0.998%
         0.3089E-02             5.960003e-15         1.876098e-19         5.932742e-17        0.995%
         0.4095E-02             5.971123e-15         1.872892e-19         5.922604e-17        0.992%
         0.5429E-02             5.990179e-15         1.867501e-19         5.905558e-17        0.986%
         0.7197E-02             6.022348e-15         1.859110e-19         5.879022e-17        0.976%
         0.9541E-02             6.075534e-15         1.846692e-19         5.839753e-17        0.961%
         0.1265E-01             6.161085e-15         1.829701e-19         5.786023e-17        0.939%
         0.1677E-01             6.294144e-15         1.808669e-19         5.719513e-17        0.909%
         0.2223E-01             6.493125e-15         1.786046e-19         5.647973e-17        0.870%
         0.2947E-01             6.779115e-15         1.766950e-19         5.587587e-17        0.824%
         0.3907E-01             7.173504e-15         1.758123e-19         5.559673e-17        0.775%
         0.5179E-01             7.697379e-15         1.767084e-19         5.588010e-17        0.726%
         0.6866E-01             8.370894e-15         1.800981e-19         5.695201e-17        0.680%
         0.9103E-01             9.214201e-15         1.865919e-19         5.900555e-17        0.640%
         0.1207             1.024809e-14         1.968632e-19         6.225362e-17        0.607%
         0.1600             1.149585e-14         2.110244e-19         6.673176e-17        0.580%
         0.2121             1.298456e-14         2.292393e-19         7.249184e-17        0.558%
         0.2812             1.474717e-14         2.521137e-19         7.972536e-17        0.541%
         0.3728             1.682488e-14         2.797404e-19         8.846168e-17        0.526%
         0.4942             1.926930e-14         3.126346e-19         9.886375e-17        0.513%
         0.6551             2.214447e-14         3.511464e-19         1.110422e-16        0.501%
         0.8685             2.552885e-14         3.961185e-19         1.252637e-16        0.491%
         1.151             2.951254e-14         4.497370e-19         1.422193e-16        0.482%
         1.526             3.417892e-14         5.172011e-19         1.635533e-16        0.479%
         2.024             3.957698e-14         6.046823e-19         1.912173e-16        0.483%
         2.683             4.571869e-14         7.155241e-19         2.262686e-16        0.495%
         3.556             5.259806e-14         8.517303e-19         2.693408e-16        0.512%
         4.715             6.015023e-14         1.027967e-18         3.250716e-16        0.540%
         6.251             6.771174e-14         1.380959e-18         4.366975e-16        0.645%
         8.286             7.270714e-14         1.961630e-18         6.203218e-16        0.853%
         10.99             7.456107e-14         2.270708e-18         7.180609e-16        0.963%
         14.56             7.522501e-14         2.358833e-18         7.459285e-16        0.992%
         19.31             7.563890e-14         2.383219e-18         7.536399e-16        0.996%
         25.60             7.601108e-14         2.393196e-18         7.567951e-16        0.996%
         33.93             7.635025e-14         2.401110e-18         7.592976e-16        0.994%
         44.98             7.661165e-14         2.410282e-18         7.621982e-16        0.995%
         59.64             7.672034e-14         2.422728e-18         7.661339e-16        0.999%
         79.06             7.656411e-14         2.443085e-18         7.725713e-16        1.009%
         104.8             7.599016e-14         2.482573e-18         7.850586e-16        1.033%
         138.9             7.481622e-14         2.565451e-18         8.112667e-16        1.084%
         184.2             7.286785e-14         2.736556e-18         8.653750e-16        1.188%
         244.2             7.005879e-14         3.051901e-18         9.650960e-16        1.378%
         323.7             6.649822e-14         3.537954e-18         1.118799e-15        1.682%
         429.2             6.252120e-14         4.153736e-18         1.313527e-15        2.101%
         569.0             5.855015e-14         4.839857e-18         1.530497e-15        2.614%
         754.3             5.492325e-14         5.568641e-18         1.760959e-15        3.206%
         1000.             5.177068e-14         6.333799e-18         2.002923e-15        3.869%

Momentum frequency /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             6.993352e-15         2.210427e-19         6.989985e-17        1.000%
         0.1326E-02             6.995701e-15         2.209789e-19         6.987968e-17        0.999%
         0.1758E-02             6.999813e-15         2.208475e-19         6.983813e-17        0.998%
         0.2330E-02             7.006970e-15         2.206300e-19         6.976933e-17        0.996%
         0.3089E-02             7.019348e-15         2.202629e-19         6.965325e-17        0.992%
         0.4095E-02             7.040545e-15         2.196705e-19         6.946591e-17        0.987%
         0.5429E-02             7.076272e-15         2.187520e-19         6.917546e-17        0.978%
         0.7197E-02             7.135137e-15         2.174038e-19         6.874912e-17        0.964%
         0.9541E-02             7.229348e-15         2.155884e-19         6.817505e-17        0.943%
         0.1265E-01             7.375044e-15         2.133684e-19         6.747301e-17        0.915%
         0.1677E-01             7.592048e-15         2.110133e-19         6.672826e-17        0.879%
         0.2223E-01             7.902801e-15         2.089862e-19         6.608723e-17        0.836%
         0.2947E-01             8.331089e-15         2.080400e-19         6.578803e-17        0.790%
         0.3907E-01             8.900168e-15         2.089682e-19         6.608156e-17        0.742%
         0.5179E-01             9.632483e-15         2.125908e-19         6.722712e-17        0.698%
         0.6866E-01             1.054982e-14         2.198979e-19         6.953781e-17        0.659%
         0.9103E-01             1.167384e-14         2.308841e-19         7.301196e-17        0.625%
         0.1207             1.303057e-14         2.459692e-19         7.778230e-17        0.597%
         0.1600             1.465295e-14         2.649620e-19         8.378834e-17        0.572%
         0.2121             1.658421e-14         2.888520e-19         9.134302e-17        0.551%
         0.2812             1.887827e-14         3.173312e-19         1.003489e-16        0.532%
         0.3728             2.160031e-14         3.511655e-19         1.110483e-16        0.514%
         0.4942             2.483058e-14         3.911714e-19         1.236992e-16        0.498%
         0.6551             2.866680e-14         4.384971e-19         1.386650e-16        0.484%
         0.8685             3.321150e-14         4.985116e-19         1.576432e-16        0.475%
         1.151             3.850510e-14         5.841269e-19         1.847171e-16        0.480%
         1.526             4.448248e-14         7.015454e-19         2.218481e-16        0.499%
         2.024             5.107466e-14         8.422237e-19         2.663345e-16        0.521%
         2.683             5.828295e-14         9.997144e-19         3.161374e-16        0.542%
         3.556             6.608223e-14         1.191180e-18         3.766841e-16        0.570%
         4.715             7.402366e-14         1.490619e-18         4.713752e-16        0.637%
         6.251             8.023067e-14         2.073687e-18         6.557574e-16        0.817%
         8.286             8.188901e-14         2.626721e-18         8.306423e-16        1.014%
         10.99             8.095933e-14         2.687508e-18         8.498648e-16        1.050%
         14.56             7.997121e-14         2.620990e-18         8.288299e-16        1.036%
         19.31             7.925291e-14         2.581675e-18         8.163974e-16        1.030%
         25.60             7.861349e-14         2.579551e-18         8.157257e-16        1.038%
         33.93             7.785838e-14         2.610049e-18         8.253700e-16        1.060%
         44.98             7.683659e-14         2.666081e-18         8.430889e-16        1.097%
         59.64             7.540875e-14         2.752650e-18         8.704643e-16        1.154%
         79.06             7.347785e-14         2.876653e-18         9.096775e-16        1.238%
         104.8             7.098581e-14         3.068245e-18         9.702644e-16        1.367%
         138.9             6.802277e-14         3.346886e-18         1.058378e-15        1.556%
         184.2             6.484950e-14         3.740946e-18         1.182991e-15        1.824%
         244.2             6.193309e-14         4.206625e-18         1.330252e-15        2.148%
         323.7             5.984499e-14         4.724445e-18         1.494001e-15        2.496%
         429.2             5.901388e-14         5.270005e-18         1.666522e-15        2.824%
         569.0             5.948372e-14         5.914799e-18         1.870424e-15        3.144%
         754.3             6.097496e-14         6.753055e-18         2.135503e-15        3.502%
         1000.             6.285791e-14         7.842015e-18         2.479863e-15        3.945%

Total ionization freq. /N (m3/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1326E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1758E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2330E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3089E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4095E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5429E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.7197E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9541E-02             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1265E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1677E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2223E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2947E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3907E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.5179E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6866E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.9103E-01             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1207             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.1600             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2121             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.2812             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.3728             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.4942             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
         0.6551             0.000000e+00         0.000000e+00         0.000000e+00        0.000%
